Γεωγραφικό Διαμέρισμα,Περιφέρεια,county_normalized,county,unit,unit2,3/25/21
Ελλάδα,Ελλάδα,A_ΕΛΛΑΔΑ,Χωρίς Γεωγραφικό Προσδιορισμό (DAILY),,ΥΠΟ ΔΙΕΡΕΥΝΗΣΗ,68.0
Αττική,Άγιον Όρος,ΑΓΙΟ ΟΡΟΣ,Άγιο Όρος,Άγιο Όρος,ΑΓΙΟ ΟΡΟΣ,
Στερεά Ελλάδα,Περιφέρεια Δυτικής Ελλάδας,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,Π.Ε. Αιτωλοακαρνανίας,Π.Ε. Αιτωλοακαρνανίας,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,30.0
Πελοπόννησος,Περιφέρεια Πελοποννήσου,ΑΡΓΟΛΙΔΑΣ,Π.Ε. Αργολίδας,Π.Ε. Αργολίδας,ΑΡΓΟΛΙΔΑΣ,21.0
Πελοπόννησος,Περιφέρεια Πελοποννήσου,ΑΡΚΑΔΙΑΣ,Π.Ε. Αρκαδίας,Π.Ε. Αρκαδίας,ΑΡΚΑΔΙΑΣ,9.0
Ήπειρος,Περιφέρεια Ηπείρου,ΑΡΤΑΣ,Π.Ε. Άρτας,Π.Ε. Άρτας,ΑΡΤΑΣ,6.0
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Π.Ε. Ανατολικής Αττικής,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,170.0
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Π.Ε. Βόρειου Τομέα Αθηνών,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,195.0
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Π.Ε. Δυτικής Αττικής,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,61.0
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Π.Ε. Δυτικού Τομέα Αθηνών,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,173.0
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Π.Ε. Κεντρικού Τομέα Αθηνών,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,366.0
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Π.Ε. Νήσων,ΝΗΣΩΝ,13.0
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Π.Ε. Νοτίου Τομέα Αθηνών,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,150.0
Αττική,Περιφέρεια Αττικής,ΑΤΤΙΚΗΣ,Περιφέρεια Αττικής,Π.Ε. Πειραιώς,ΠΕΙΡΑΙΩΣ,189.0
Ελλάδα,Ελλάδα,ΑΥΤΟΒΟΥΛΩΣ,Εισαγόμενα (Αυτοβούλως),Εισαγόμενα (Αυτοβούλως),ΑΥΤΟΒΟΥΛΩΣ,1.0
Πελοπόννησος,Περιφέρεια Δυτικής Ελλάδας,ΑΧΑΪΑΣ,Π.Ε. Αχαϊας,Π.Ε. Αχαϊας,ΑΧΑΪΑΣ,100.0
Στερεά Ελλάδα,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,ΒΟΙΩΤΙΑΣ,Π.Ε. Βοιωτίας,Π.Ε. Βοιωτίας,ΒΟΙΩΤΙΑΣ,24.0
Μακεδονία,Περιφέρεια Δυτικής Μακεδονίας,ΓΡΕΒΕΝΩΝ,Π.Ε. Γρεβενών,Π.Ε. Γρεβενών,ΓΡΕΒΕΝΩΝ,7.0
Μακεδονία,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,ΔΡΑΜΑΣ,Π.Ε. Δράμας,Π.Ε. Δράμας,ΔΡΑΜΑΣ,5.0
Νησιά Αιγαίου Πελάγους,Περιφέρεια Νοτίου Αιγαίου,ΔΩΔΕΚΑΝΗΣΩΝ,Ν. Δωδεκανήσου,Ν. Δωδεκανήσου,,
Νησιά Αιγαίου Πελάγους,Περιφέρεια Νοτίου Αιγαίου,ΔΩΔΕΚΑΝΗΣΩΝ,Ν. Δωδεκανήσου,Π.Ε. Καλύμνου,ΚΑΛΥΜΝΟΥ,6.0
Νησιά Αιγαίου Πελάγους,Περιφέρεια Νοτίου Αιγαίου,ΔΩΔΕΚΑΝΗΣΩΝ,Ν. Δωδεκανήσου,Π.Ε. Καρπάθου-Ηρωικής Νήσου Κάσου,ΚΑΡΠΑΘΟΥ,2.0
Νησιά Αιγαίου Πελάγους,Περιφέρεια Νοτίου Αιγαίου,ΔΩΔΕΚΑΝΗΣΩΝ,Ν. Δωδεκανήσου,Π.Ε. Ρόδου,ΡΟΔΟΥ,9.0
